lam(micras) energia(erg/sec/micras)
18350.000 3.14152e+008
20070.000 3.07272e+008
21950.000 3.00715e+008
24010.000 2.91481e+008
26260.000 2.87810e+008
28730.000 2.80951e+008
31420.000 2.75145e+008
34370.000 2.70458e+008
37590.000 2.63243e+008
41120.000 2.60084e+008
44980.000 2.54947e+008
49200.000 2.49838e+008
53809.997 2.46396e+008
58860.000 2.40796e+008
64390.003 2.37921e+008
70430.003 2.33968e+008
77030.003 2.27855e+008
84260.000 2.26912e+008
92160.000 2.22474e+008
100800.00 2.19643e+008
110300.01 2.16740e+008
120600.00 2.11774e+008
131900.01 2.10644e+008
144300.01 2.07215e+008
157800.00 2.04351e+008
172700.01 2.02232e+008
188899.99 1.98156e+008
206600.00 1.95836e+008
225900.01 1.93235e+008
247100.01 1.91280e+008
270300.01 1.89588e+008
295699.99 1.86232e+008
323399.99 1.84823e+008
353799.99 1.82596e+008
387000.01 1.78678e+008
423299.99 1.78548e+008
463000.01 1.75709e+008
506400.00 1.74202e+008
553899.98 1.72374e+008
605899.98 1.69046e+008
662699.98 1.68458e+008
724899.99 1.65857e+008
792899.99 1.64606e+008
867300.04 1.63226e+008
948699.96 1.60330e+008
